AT1,AT2,AT3,AT4,AT5,AT6,AT7,AT8,AT9,AT10,student_id
5.49,7.47,4.31,6.64,9.21,5.53,8.46,8.62,3.93,6.32,1
4.57,7.59,3.58,8.77,8.39,4.86,8.47,8.31,3.77,5.28,2
4.81,7.65,3.6,6.96,9.02,5.97,8.57,8.17,4.3,7.22,3
6.72,7.52,3.96,8.09,7.92,6.54,8.5,4.94,4.04,7.74,4
6.71,8.33,3.01,7.56,8.66,4.16,8.56,7.21,3.9,6.74,5
5.96,8.02,2.08,6.15,7.72,5.32,8.51,10.01,3.01,7.28,6
7.47,8.21,5.12,7.1,8.98,7.41,8.44,7.79,4.27,7.26,7
8.22,7.44,2.28,5.8,7.99,5.42,8.48,8.81,3.67,6.4,8
6.27,7.36,4.51,7.11,8.18,6.26,8.51,8.63,3.21,7.5,9
6.62,7.04,2.47,7.42,9.09,4.71,8.55,9.66,3.38,6.28,10
6.96,7.17,3.29,7.57,8.09,5.85,8.59,6.92,3.01,4.98,11
5.72,7.56,3.81,7.6,9.03,3.71,8.48,8.81,3.18,7.2,12
5.44,6.89,3.67,7.55,8.64,6.77,8.51,9.43,4.44,8.59,13
6.12,7.87,3.08,6.59,7.64,2.71,8.53,7.38,2.86,4.07,14
6.75,8.21,1.96,6.91,8.82,3.21,8.48,7.38,3.13,4.66,15
5.14,7.12,2.52,8.2,8.91,2.41,8.55,9.25,3.93,5.56,16
5.77,7.81,3.01,7.56,8.4,6.81,8.47,7.04,3.77,5.67,17
8.06,7.44,4.03,7.04,8.63,6.25,8.46,8.7,3.6,7.24,18
5.75,6.98,3.71,6.9,7.77,6.53,8.51,6.27,3.98,7.5,19
7.36,8.41,4.23,6.68,7.8,7.08,8.52,7.55,3.61,6.23,20
5.8,8.15,4.11,6.19,8.34,0.59,8.5,8.22,3.46,6.58,21
7.89,7.12,4.3,9.05,8.71,7.18,8.5,6.37,4.13,6.55,22
